Archetype,Scientific Name (PISCES),Score: Overall Sustainability,Score:  GHG Emissions,Score: Edible Coefficient,Score: Max Number of Individuals (Log),Score: Mercury Concentration,Score: U.S. Retail Sales (Log),Score: U.S. Menu Prevalence,Score: Import Value (Log),Score: Import Volume (Log),Average Score
Crab,"Cancridae,Cancer magister,Cancer pagurus,Chionoecetes,Portunidae,Callinectes sapidus,Portunus pelagicus,Scylla serrata,Lithodidae,Paralithodes camtschaticus,Eriocheir sinensis,Ucides cordatus",1.00,0.8351,0.84,,0.06,0.81,0.77,0.90,0.80,0.65
Shark,"Squalus acanthias,Triakis scyllium,Scyliorhinus canicula,Prionace glauca,Scoliodon laticaudus",0.97,,,0.25,1.00,,,0.00,0.00,0.61
Lobster,"Nephropidae,Homarus americanus,Homarus gammarus,Nephrops norvegicus,Palinuridae,Jasus edwardsii,Panulirus argus",0.95,0.9266,0.66,,0.12,0.63,0.37,0.86,0.73,0.59
Tuna (Not Specified),,,,,0.51,0.40,0.89,0.87,0.85,0.88,0.56
Tilefish,,0.77,,,0.50,0.65,,,,,0.53
Billfish (including marlin and swordfish),"Kajikia albida,Istiompax indica,Makaira nigricans,Kajikia audax,Xiphias gladius",0.91,0.4173,,0.05,0.76,0.41,,0.57,0.56,0.53
Shrimp/Prawn,"Penaeus monodon,Macrobrachium,Macrobrachium rosenbergii,Macrobrachium malcolmsonii,Crangon crangon,Pandalus hypsinotus,Pandalus borealis,Pandalus,Penaeidae,Metapenaeus endeavouri,Metapenaeus macleayi,Metapenaeus monoceros,Penaeus esculentus,Penaeus latisulcatus,Penaeus merguiensis,Penaeus merguiensis,Penaeus semisulcatus,Litopenaeus vannamei,Sergestidae,Palaemonidae,Mesopodopsis orientalis,Acetes indicus,Acetes,Pleoticus muelleri,Parapenaeus longirostris,Melicertus plebejus,Haliporoides sibogae,Parapenaeus australiensis,Plesionika martia,Litopenaeus stylirostris,Penaeus chinensis,Marsupenaeus japonicus,Penaeus penicillatus,Farfantepenaeus californiensis",0.76,0.4777,0.37,,0.01,1.00,0.83,1.00,1.00,0.53
Orange Roughy,,0.98,,,,0.58,0.18,,0.43,0.38,0.52
Tuna (Bluefin/Bigeye/Yellowfin),"Thunnus maccoyii,Thunnus albacares,Thunnus obesus,Thunnus thynnus,Thunnus orientalis",0.91,0.1703,,0.59,0.53,0.58,0.10,0.69,0.65,0.52
Sea Cucumber,,0.79,0.7560,,,,,,0.43,0.37,0.50
Bluefish,,0.76,,,,0.37,,,,,0.49
Sunfish/Opah,,0.98,,,,,,,,,0.48
Grouper,"Epinephelus akaara,Epinephelus coioides",0.94,0.1667,,0.61,0.46,0.20,,0.53,0.52,0.48
Triggerfish,,0.96,,,,,,,,,0.48
Toothfish,,0.95,,,,,,,0.66,0.53,0.47
Sole,"Solea senegalensis,Eopsetta jordani,Solea solea",0.41,1.0000,0.68,0.53,,,0.05,0.53,0.56,0.47
Scorpionfish,,,,,,0.24,,,,,0.45
"Flatfish (including halibut, flounder, etc.)","Scophthalmus maximus,Paralichthys olivaceus,Pseudopleuronectes yokohamae,Kareius bicoloratus,Microstmus achne",0.86,0.4557,,0.62,0.15,0.57,0.05,0.67,0.65,0.45
Dolphinfish (including mahi mahi),Coryphaena hippurus,0.91,,,,0.18,0.37,,0.66,0.63,0.45
Blowfin,,,,,,,,,,,0.45
Elephantfish,Gnathonemus petersii,,,,,,,,,,0.45
Minnows/Killifish,"Danio rerio,Fundulus heteroclitus,Pimephales promelas,Austrofundulus limnaeus",,,,,,,,,,0.45
Turtle,Pelodiscus sinensis,,,,,,,,,,0.45
Arapaima,,,,,,,,,,,0.45
Sablefish,Anoplopoma fimbria,0.69,,,,0.37,,,0.28,0.19,0.45
Cod,"Gadus morhua,Gadus macrocephalus",0.96,0.1487,0.68,0.51,0.11,0.66,0.13,0.76,0.76,0.45
Tuna (Albacore/Skipjack),"Thunnus alalunga,Katsuwonus pelamis,Euthynnus alletteratus",0.81,0.1795,,0.50,0.25,0.87,0.02,0.66,0.68,0.44
Scallops,"Pectinidae,Pecten maximus",0.00,0.5967,0.97,,0.00,0.60,0.55,0.67,0.62,0.44
Salmon,"Salmo salar,Salmo trutta,Oncorhynchus gorbuscha,Oncorhynchus nerka,Oncorhynchus tshawytscha,Oncorhynchus masou masou,Oncorhynchus kisutch,Oncorhynchus keta,Oncorhynchus mykiss",0.69,0.1410,0.21,0.48,0.02,0.96,1.00,0.96,0.94,0.44
